DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C
2014-01-01,11,8,43,8,11,11,9.1,94,9.25,1011,66.75,11,11,6
2014-01-02,12,8,24,8,12,10,0.1,89,9.875,1006,39.625,12,9,6
2014-01-03,12,9,33,10,12,9,0.8,88,10.0,1011,38.5,12,11,7
2014-01-04,11,5,33,10,11,6,2.6,84,10.0,1008,62.375,11,8,6
2014-01-05,13,5,32,5,10,12,2.1,93,7.875,1010,67.25,13,12,4
2014-01-06,13,10,35,12,13,11,2.3,94,8.875,1010,57.875,13,12,9
2014-01-07,14,10,22,11,14,10,1.1,95,9.75,1014,33.5,14,10,8
2014-01-08,13,9,23,9,13,11,0.1,96,10.0,1018,34.125,13,11,7
2014-01-09,12,8,19,11,10,9,5.1,92,8.0,1018,60.875,12,11,8
2014-01-10,10,6,13,7,10,8,0.3,93,9.375,1019,50.0,10,8,6
2014-01-11,10,4,10,5,10,6,0.0,93,6.75,1023,34.625,11,8,4
2014-01-12,11,4,23,4,11,10,3.5,95,9.625,1022,49.125,11,10,2
2014-01-13,10,7,25,7,10,7,0.7,90,10.0,1016,32.875,10,8,5
2014-01-14,8,3,12,3,8,6,0.0,88,10.0,1013,22.625,9,4,4
2014-01-15,12,9,28,10,12,11,3.2,97,7.5,1011,93.875,12,10,8
2014-01-16,11,8,32,8,11,8,3.6,86,9.875,1000,58.375,11,9,5
2014-01-17,12,7,26,8,12,8,1.6,88,9.75,997,58.375,12,8,5
2014-01-18,11,7,32,7,11,8,1.5,88,8.875,996,56.75,12,8,3
2014-01-19,9,2,5,2,9,5,0.6,88,9.0,1002,56.125,9,5,6
2014-01-20,9,0,15,0,9,4,0.0,92,8.0,1014,20.5,9,5,5
2014-01-21,9,0,23,3,9,7,0.9,85,7.875,1015,43.0,10,7,2
2014-01-22,10,5,16,7,10,6,2.6,97,8.5,1015,64.25,10,8,8
2014-01-23,11,3,22,3,11,8,0.2,89,10.0,1022,37.25,11,8,4
2014-01-24,11,8,19,9,11,11,7.5,99,8.375,1022,100.0,11,11,8
2014-01-25,13,9,19,9,12,9,0.1,95,10.0,1023,50.25,13,11,7
2014-01-26,12,7,36,7,11,10,5.9,97,7.625,1023,56.5,12,11,7
2014-01-27,8,4,25,4,8,4,0.9,81,9.75,1007,40.5,8,4,2
2014-01-28,9,4,19,6,9,4,5.0,95,9.25,1000,72.5,9,6,3
