DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C
2010-01-01,5,2,19,2,5,3,0.0,86,10.0,1012,62.875,5,3,-1
2010-01-02,5,-1,6,-1,4,1,0.0,78,10.0,1022,31.375,5,0,2
2010-01-03,5,1,26,2,4,2,0.3,61,9.875,1021,65.5,5,0,-3
2010-01-04,1,-4,25,-2,0,-3,0.0,75,10.0,1017,9.875,1,0,-9
2010-01-05,2,-5,20,-5,1,-4,0.0,71,10.0,1012,8.0,3,0,-10
2010-01-06,4,-1,18,-1,4,1,2.7,87,9.375,1003,44.375,4,1,-3
2010-01-07,1,-5,27,-5,1,-2,0.0,95,10.0,1015,32.75,1,0,-9
2010-01-08,1,-4,32,-3,1,-4,0.0,92,10.0,1018,26.75,1,0,-7
2010-01-09,-2,-5,23,-5,-3,-3,0.0,91,9.0,1018,47.125,0,0,-11
2010-01-10,1,-6,5,-5,0,-3,0.0,95,5.0,1017,61.25,1,0,-3
2010-01-11,0,-6,9,-6,-1,-4,0.0,88,10.0,1020,28.5,1,0,-8
2010-01-12,5,-4,32,-4,0,3,2.9,93,8.625,1019,61.0,5,5,-10
2010-01-13,9,5,17,5,9,6,1.0,93,9.75,1004,63.625,10,8,2
2010-01-14,6,4,20,4,5,5,2.0,96,8.25,1012,77.5,6,6,0
2010-01-15,8,0,21,1,8,3,0.0,93,7.0,1022,17.5,9,6,-1
2010-01-16,12,4,33,6,10,11,4.6,94,9.625,1017,80.625,12,11,5
2010-01-17,11,4,15,6,11,5,0.0,89,10.0,1026,9.125,11,7,5
2010-01-18,9,2,17,2,8,4,0.0,90,10.0,1028,5.125,9,6,4
2010-01-19,7,2,24,2,7,5,0.4,80,9.0,1023,47.875,7,5,-2
2010-01-20,11,4,28,9,11,6,1.1,87,8.75,1017,36.25,11,8,5
2010-01-21,10,2,18,2,10,7,0.0,91,10.0,1022,46.125,10,7,3
2010-01-22,9,7,23,7,9,8,1.3,87,7.0,1021,96.5,9,7,3
2010-01-23,8,5,8,7,6,6,4.3,95,5.5,1020,99.375,8,8,5
2010-01-24,7,1,16,4,7,3,0.0,94,8.0,1028,49.25,7,4,1
2010-01-25,5,-1,8,3,5,2,2.1,90,9.875,1031,51.25,5,3,2
2010-01-26,3,-2,22,0,3,2,0.0,95,10.0,1035,48.375,3,0,-5
2010-01-27,4,-4,24,-4,2,0,0.0,66,10.0,1035,8.5,5,0,-9
2010-01-28,7,1,17,6,7,5,0.1,93,10.0,1025,69.25,7,5,3
