DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C
2012-01-01,14,12,38,13,14,12,10.0,97,6.375,1020,99.75,14,12,10
2012-01-02,11,6,27,8,9,6,12.8,82,9.375,1024,37.25,11,9,5
2012-01-03,13,9,42,11,13,13,4.7,94,8.625,1024,89.75,13,13,9
2012-01-04,11,6,23,6,11,10,0.0,86,10.0,1032,29.375,11,8,4
2012-01-05,12,8,37,11,12,11,0.0,94,10.0,1023,89.5,12,11,8
2012-01-06,10,5,12,6,10,6,0.0,91,10.0,1032,34.75,10,6,4
2012-01-07,8,4,20,4,8,5,2.6,82,9.125,1020,66.625,8,3,2
2012-01-08,9,5,10,5,9,8,0.0,92,8.0,1032,52.0,10,7,5
2012-01-09,8,5,17,5,8,6,1.7,90,8.5,1019,64.25,9,5,2
2012-01-10,11,3,12,3,11,6,0.0,95,5.5,1037,43.0,11,9,4
2012-01-11,11,4,18,4,11,5,0.0,96,10.0,1036,15.125,11,7,0
2012-01-12,8,0,8,0,7,2,0.0,93,8.0,1034,15.5,9,6,1
2012-01-13,10,3,11,6,10,5,0.3,97,5.75,1033,65.0,10,8,6
2012-01-14,5,-1,20,0,5,0,0.0,93,10.0,1029,20.375,5,2,-4
2012-01-15,4,-3,15,-3,3,-2,0.0,74,10.0,1022,4.5,4,0,-6
2012-01-16,4,-4,16,-4,3,-1,0.0,64,10.0,1025,5.375,5,0,-7
2012-01-17,6,-3,6,-3,4,2,0.0,78,10.0,1031,20.125,6,2,-1
2012-01-18,10,1,19,4,8,10,0.5,97,4.5,1032,69.375,10,10,3
2012-01-19,13,11,29,11,13,12,0.0,98,10.0,1033,94.5,13,11,9
2012-01-20,11,6,24,6,11,8,0.0,92,10.0,1032,38.5,11,8,5
2012-01-21,13,8,28,11,13,11,0.0,95,10.0,1028,82.375,13,11,8
2012-01-22,11,8,22,8,11,10,0.0,91,10.0,1024,81.5,11,10,6
2012-01-23,10,5,11,6,10,6,0.0,92,9.0,1025,57.5,11,7,7
2012-01-24,12,5,19,7,12,9,0.2,95,8.0,1026,65.75,12,10,6
2012-01-25,11,8,14,8,11,9,0.2,94,7.0,1024,73.0,11,9,9
2012-01-26,11,5,21,9,11,6,1.1,87,9.875,1020,49.75,11,8,6
2012-01-27,9,2,9,2,9,4,0.2,86,9.875,1027,7.875,10,5,5
2012-01-28,7,2,22,2,7,3,0.3,92,8.875,1029,35.875,7,3,0
2012-01-29,6,0,16,2,6,2,0.0,94,10.0,1029,42.5,6,2,0
2012-01-30,4,1,20,2,2,2,3.8,100,7.5,1028,89.75,4,4,-3
2012-01-31,3,-2,17,0,3,-1,0.1,91,10.0,1024,54.875,3,0,-5
2012-02-01,0,-5,31,-5,0,-4,0.0,84,10.0,1026,22.25,0,0,-11
2012-02-02,-1,-8,30,-8,-2,-5,0.0,55,10.0,1031,0.0,0,0,-14
2012-02-03,-1,-10,22,-10,-2,-6,0.0,45,10.0,1039,1.5,0,0,-15
2012-02-04,3,-8,14,-6,3,-3,0.1,83,10.0,1039,13.25,4,0,-7
2012-02-05,3,-7,25,2,3,-5,3.9,98,6.75,1032,76.75,3,3,-5
2012-02-06,3,-9,10,-4,1,-3,0.1,91,6.5,1034,61.125,3,2,-6
2012-02-07,0,-9,19,-3,-2,-6,1.1,94,8.25,1037,29.125,1,0,-12
2012-02-08,-3,-11,21,-10,-4,-6,0.0,86,10.0,1037,32.25,0,0,-15
2012-02-09,0,-10,12,-10,-2,-4,0.0,81,10.0,1038,13.625,0,0,-10
2012-02-10,-1,-8,18,-6,-1,-6,0.0,81,10.0,1036,29.625,0,0,-10
2012-02-11,0,-10,19,-10,-1,-6,0.0,76,10.0,1034,5.25,0,0,-14
2012-02-12,1,-11,14,-11,-2,-5,0.1,69,10.0,1035,27.875,1,0,-15
2012-02-13,7,-1,13,-1,5,4,0.1,97,5.5,1033,83.875,7,4,-1
2012-02-14,7,1,25,2,7,2,0.0,92,10.0,1028,69.625,7,4,-2
2012-02-15,10,2,22,4,10,6,0.0,94,9.0,1031,48.125,10,6,3
2012-02-16,10,2,13,2,10,6,0.0,91,8.0,1032,33.0,10,5,4
2012-02-17,9,0,9,0,8,6,0.0,85,7.5,1031,60.75,9,7,4
2012-02-18,10,7,23,7,10,8,0.2,91,7.0,1026,89.75,10,7,6
2012-02-19,9,1,16,1,8,3,0.0,84,10.0,1032,10.875,9,7,0
2012-02-20,8,-2,7,-2,7,0,0.0,78,10.0,1035,7.0,10,1,2
2012-02-21,8,-2,7,-1,7,-1,0.0,58,10.0,1034,32.75,9,0,1
2012-02-22,9,-3,15,-3,9,4,0.0,56,10.0,1033,24.125,10,2,6
2012-02-23,11,6,15,8,11,9,0.6,98,5.5,1031,94.875,11,11,7
2012-02-24,11,7,8,7,11,9,0.1,93,4.25,1032,82.875,12,10,10
2012-02-25,14,6,13,7,12,11,0.0,94,6.25,1030,83.625,14,11,8
2012-02-26,12,5,9,5,11,8,0.0,91,7.5,1029,55.625,13,8,5
2012-02-27,13,2,5,2,12,6,0.0,78,10.0,1030,26.625,13,7,7
2012-02-28,14,3,5,3,13,9,0.0,81,10.0,1028,30.625,14,9,9
2012-02-29,15,3,11,3,13,9,0.0,83,8.0,1025,7.5,16,11,6
2012-03-01,15,4,9,4,13,10,0.0,86,8.0,1026,29.125,16,10,7
2012-03-02,14,5,9,5,12,7,0.0,91,6.5,1026,52.0,14,10,9
2012-03-03,13,6,22,7,13,8,0.2,87,7.625,1026,56.375,13,10,9
2012-03-04,11,3,37,8,11,5,2.7,97,9.75,1028,49.375,11,10,5
2012-03-05,10,2,23,2,10,5,0.0,72,10.0,1031,11.0,10,4,3
2012-03-06,10,0,15,1,10,6,0.0,85,9.0,1029,36.75,10,4,4
2012-03-07,9,0,30,4,9,9,0.7,90,9.0,1029,55.125,10,9,4
2012-03-08,10,2,14,2,10,5,0.0,84,9.0,1037,39.375,10,5,5
2012-03-09,12,0,6,0,12,7,0.0,77,10.0,1039,23.625,13,7,8
2012-03-10,12,4,16,5,12,9,0.1,87,10.0,1039,55.0,12,8,7
2012-03-11,11,5,20,5,11,10,0.1,91,8.75,1038,61.75,11,8,6
2012-03-12,16,4,21,4,15,11,0.0,86,10.0,1033,23.25,16,10,6
2012-03-13,17,5,21,5,16,11,0.0,86,10.0,1030,4.375,17,11,8
2012-03-14,19,4,16,4,16,12,0.0,82,10.0,1028,1.375,20,14,7
2012-03-15,17,2,11,2,15,9,0.0,84,5.0,1026,0.0,18,13,15
2012-03-16,15,2,14,2,15,9,0.0,80,4.75,1024,19.5,15,10,13
2012-03-17,12,6,30,9,12,8,5.2,97,7.25,1020,76.75,12,10,7
2012-03-18,11,4,14,5,11,6,1.3,86,8.875,1024,45.875,11,7,7
2012-03-19,12,2,17,2,11,6,0.0,88,8.75,1036,38.25,12,5,4
2012-03-20,12,0,8,0,12,6,0.0,74,9.0,1037,41.125,12,4,6
2012-03-21,13,1,19,1,9,11,1.4,90,9.875,1034,47.5,13,10,3
2012-03-22,15,4,17,7,14,10,0.7,87,7.625,1026,56.75,15,11,9
2012-03-23,18,4,16,6,18,14,0.0,81,7.75,1026,22.0,19,13,13
2012-03-24,20,7,16,7,20,14,0.0,75,10.0,1025,1.5,20,14,12
2012-03-25,20,7,16,7,20,15,0.0,75,10.0,1028,8.5,20,13,13
2012-03-26,19,7,22,7,19,15,0.0,76,10.0,1029,2.875,20,12,12
2012-03-27,19,6,20,6,19,15,0.0,75,10.0,1031,0.0,19,13,11
2012-03-28,20,6,17,6,19,15,0.0,79,10.0,1030,1.125,20,13,12
2012-03-29,20,7,18,7,19,15,0.0,79,10.0,1026,2.125,20,12,11
2012-03-30,19,6,12,6,18,15,0.0,73,9.0,1025,3.5,20,13,12
2012-03-31,18,5,14,5,17,13,0.0,82,7.75,1019,16.75,19,13,12
2012-04-01,13,2,23,2,12,9,0.0,69,10.0,1017,9.25,13,6,3
2012-04-02,16,2,14,2,15,11,0.0,66,10.0,1012,1.875,17,9,6
2012-04-03,13,2,18,2,13,9,0.0,80,8.0,1007,7.75,13,8,8
2012-04-04,11,1,13,2,11,7,0.1,81,6.75,1010,38.125,12,6,8
2012-04-05,15,-2,14,2,14,11,0.5,76,9.875,1013,28.0,15,9,9
2012-04-06,14,2,24,2,13,11,0.0,78,10.0,1013,69.25,14,9,4
2012-04-07,13,0,16,0,13,11,0.0,77,9.0,1014,44.0,13,9,6
2012-04-08,14,3,13,5,13,11,0.2,82,7.75,1019,67.375,14,10,11
2012-04-09,12,8,26,9,12,11,0.3,85,8.75,1015,96.75,12,9,9
2012-04-10,12,6,25,10,12,8,5.1,92,8.25,1000,58.75,12,10,8
2012-04-11,13,4,19,6,13,9,0.6,75,9.875,1004,23.75,13,8,9
2012-04-12,13,3,12,3,13,9,0.2,78,6.75,1007,24.75,14,8,9
2012-04-13,12,1,11,5,12,9,2.1,83,6.875,1007,59.25,13,9,10
2012-04-14,12,-1,12,4,12,9,1.0,80,5.0,1006,59.75,13,8,9
2012-04-15,11,2,28,3,11,7,0.1,80,10.0,1022,40.25,11,5,5
2012-04-16,11,0,14,1,11,8,0.1,65,9.0,1026,17.625,11,5,5
2012-04-17,12,2,30,7,12,9,1.4,98,9.875,1021,57.75,12,12,5
2012-04-18,11,6,33,6,10,9,2.6,96,9.5,1002,64.625,11,9,5
2012-04-19,12,3,26,6,12,9,0.7,77,6.875,997,43.0,12,8,9
2012-04-20,12,3,26,5,12,9,0.0,79,7.0,1003,30.875,12,8,9
2012-04-21,12,6,28,7,12,9,1.0,91,9.75,1010,32.75,12,8,7
2012-04-22,13,4,25,6,13,9,0.3,77,7.875,1012,21.375,13,7,8
2012-04-23,12,6,35,8,12,8,7.7,93,9.0,1010,77.25,12,9,6
2012-04-24,13,6,23,7,13,10,0.0,76,10.0,1006,49.125,13,8,9
2012-04-25,14,7,48,9,14,11,7.7,97,9.5,1000,55.75,14,10,7
2012-04-26,13,8,35,9,13,11,0.0,82,10.0,1010,25.25,13,9,9
2012-04-27,13,8,17,8,13,10,2.3,87,8.875,1014,66.5,14,10,9
2012-04-28,11,7,16,7,11,10,7.5,94,5.75,1013,97.0,11,10,8
