date,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2013-12-31,113,0.0,1,3.3,bad
2013-06-10,116,0.0,1,13.8,bad
2013-10-01,143,0.0,1,8.7,bad
2013-09-30,116,0.0,1,8.7,bad
2013-06-11,122,0.0,1,11.9,bad
2013-06-12,116,0.0,1,14.7,bad
2013-04-09,113,0.0,1,9.1,bad
2013-04-10,122,0.0,1,6.6,bad
2013-06-17,119,0.0,1,12.9,bad
2013-06-20,119,0.0,1,12.9,bad
2013-06-21,116,0.0,1,13.8,bad
2013-09-17,122,0.0,1,6.3,bad
2013-05-02,116,0.0,1,10.3,bad
2013-05-30,116,0.0,1,10.6,bad
2013-09-14,113,0.0,1,7.7,bad
2013-09-12,116,0.0,1,7.7,bad
2013-05-01,248,0.0,1,9.2,bad
2013-09-09,116,0.0,1,10.3,bad
2013-06-22,119,0.0,1,12.9,bad
2013-04-11,116,0.0,1,9.1,bad
2013-08-17,116,0.0,1,9.3,bad
2013-06-28,119,0.0,1,11.9,bad
2013-06-29,113,0.0,1,13.8,bad
2013-04-13,116,0.0,1,6.7,bad
2013-04-23,116,0.0,1,8.2,bad
2013-12-30,119,0.0,1,5.1,bad
2013-03-06,143,0.0,1,5.6,bad
2013-03-07,122,0.0,1,8.7,bad
2013-07-03,116,0.0,4,14.7,bad
2013-09-13,116,0.0,1,7.7,bad
2013-02-04,122,0.0,1,4.9,bad
2013-05-13,116,0.0,1,9.4,bad
2013-11-02,122,0.0,1,5.4,bad
2013-12-19,122,0.0,1,8.7,bad
2013-12-27,122,0.0,1,5.1,bad
2013-11-12,116,0.0,1,3.5,bad
2013-11-11,143,0.0,1,3.5,bad
2013-01-10,116,0.0,1,3.3,bad
2013-11-10,122,0.0,1,7.0,bad
2013-11-07,122,0.0,1,3.7,bad
2013-11-06,116,0.0,1,5.4,bad
2013-11-05,116,0.0,1,5.4,bad
2013-05-14,122,0.0,1,9.4,bad
2013-11-01,122,0.0,1,3.8,bad
2013-10-31,122,0.0,1,3.8,bad
2013-05-31,113,0.0,1,10.6,bad
2013-01-03,113,0.0,1,8.7,bad
2013-07-30,119,0.0,4,9.4,bad
2013-05-21,122,0.0,1,9.5,bad
2013-05-20,143,0.0,1,9.5,bad
2013-05-19,122,0.0,1,9.5,bad
2013-12-28,113,0.0,1,6.9,bad
2013-10-15,248,0.0,1,5.5,bad
2013-10-14,116,0.0,1,8.5,bad
2013-01-27,113,0.0,1,9.6,bad
2013-01-29,122,0.0,1,4.8,bad
2013-01-31,122,0.0,1,4.9,bad
2013-02-01,122,0.0,1,4.9,bad
2013-12-21,122,0.0,1,3.3,bad
2013-12-23,122,0.0,1,5.1,bad
2013-07-20,200,0.0,5,14.5,good
2013-07-19,200,0.0,5,14.5,good
2013-07-24,116,0.0,5,14.5,good
2013-08-02,113,0.0,1,14.5,good
2013-07-28,116,0.0,5,14.5,good
2013-07-26,119,0.0,6,13.5,good
2013-07-25,116,0.0,6,13.5,good
2013-06-16,116,0.0,1,16.0,good
2013-07-12,113,0.0,5,15.8,good
2013-06-01,113,0.0,1,13.5,good
2013-06-02,116,0.0,1,14.5,good
2013-06-03,113,0.0,1,14.5,good
2013-06-04,116,0.0,1,14.5,good
2013-06-05,116,0.0,1,13.5,good
2013-06-06,113,0.0,1,14.5,good
2013-07-13,113,0.0,6,15.8,good
2013-06-14,113,0.0,1,15.6,good
2013-06-25,116,0.0,1,16.0,good
2013-06-27,113,0.0,1,15.9,good
2013-06-30,113,0.0,1,15.9,good
2013-07-01,113,0.0,4,15.9,good
2013-07-06,113,0.0,5,15.9,good
2013-07-11,113,0.0,5,15.8,good
2013-08-03,113,0.0,1,13.5,good
2013-08-04,113,0.0,1,14.5,good
2013-08-23,113,0.0,1,11.6,good
2013-08-06,116,0.0,1,13.5,good
2013-09-11,113,0.0,1,11.6,good
2013-09-15,116,0.0,1,11.6,good
2013-09-20,113,0.0,1,11.6,good
2013-09-22,113,0.0,1,11.6,good
2013-09-23,113,0.0,1,11.6,good
2013-09-24,113,0.0,1,11.6,good
