DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2022-01-01,16,9,14,9,14,11,0,80,10,1024,47.375,16,11,7,122,113,113,0,3,8.7,météo correcte,17:27:00,08:53:00,10
2022-01-02,15,12,28,13,15,13,0,88,10,1025,71.375,15,12,10,116,116,119,0,3,6.9,météo défavorable,17:28:00,08:53:00,13
2022-01-03,14,12,30,12,13,14,0,96,10,1024,91,14,12,10,122,119,122,0,3,3.3,météo défavorable,17:29:00,08:53:00,12
2022-01-04,15,7,44,14,12,8,1.3,89,9.875,1016,95.375,15,11,5,353,122,122,0,3,3.3,météo défavorable,17:30:00,08:53:00,14
2022-01-05,8,2,17,2,6,4,0.2,86,9,1026,32.5,8,2,-2,116,116,113,0,1,8.7,météo très défavorable,17:31:00,08:53:00,3
2022-01-06,7,1,13,1,6,4,0,85,10,1026,35.875,7,1,0,113,113,122,0,2,6.9,météo très défavorable,17:32:00,08:52:00,1
2022-01-07,11,5,30,5,10,9,0.2,90,10,1028,57.625,11,6,2,119,113,116,0,2,6.9,météo très défavorable,17:33:00,08:52:00,6
2022-01-08,11,8,43,8,11,11,1,92,9,1023,83.375,11,10,5,116,176,266,0,3,3.3,météo défavorable,17:35:00,08:52:00,8
2022-01-09,9,6,15,6,9,8,0.6,88,8,1017,92.5,9,8,3,119,122,266,0,2,3.3,météo défavorable,17:36:00,08:51:00,7
2022-01-10,9,8,5,9,9,9,0.9,93,8,1024,100,9,9,8,176,122,122,0,2,3.3,météo défavorable,17:37:00,08:51:00,9
2022-01-11,7,5,10,7,6,6,0,92,10,1036,77.5,7,5,4,122,116,116,0,2,3.3,météo très défavorable,17:38:00,08:51:00,7
2022-01-12,7,3,14,3,6,4,0,81,10,1039,44.5,7,1,0,116,119,116,0,2,5.1,météo très défavorable,17:40:00,08:50:00,3
2022-01-13,10,1,23,1,8,3,0,96,10,1038,13.375,10,3,-4,116,113,113,0,2,8.7,météo très défavorable,17:41:00,08:50:00,2
2022-01-14,8,-1,11,-0,6,4,0,86,10,1036,17.5,8,0,-4,113,113,122,0,2,8.7,météo très défavorable,17:42:00,08:49:00,0
2022-01-15,8,0,7,-0,6,4,0,80,10,1031,8.125,8,2,-2,113,113,113,0,2,8.7,météo très défavorable,17:43:00,08:48:00,0
2022-01-16,9,1,8,1,6,5,0,96,7,1034,43,9,5,-1,143,119,116,0,2,5.1,météo très défavorable,17:45:00,08:48:00,2
2022-01-17,13,3,8,4,9,9,0,91,10,1038,19.625,13,7,2,113,113,113,0,3,8.7,météo correcte,17:46:00,08:47:00,4
