DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C
2011-01-01,4,-1,15,-1,3,0,0.0,91,10.0,1024,39.0,4,0,-5
2011-01-02,6,-1,13,0,6,0,0.0,92,7.0,1027,36.875,6,2,-2
2011-01-03,3,-3,9,-3,3,-1,0.0,92,7.0,1028,23.25,4,0,-4
2011-01-04,4,-2,14,-2,3,-1,0.0,72,10.0,1022,48.625,5,0,-5
2011-01-05,11,-2,23,1,8,10,1.9,98,8.5,1013,77.375,11,11,-1
2011-01-06,13,11,36,11,13,11,1.7,97,9.875,1003,75.75,14,12,8
2011-01-07,14,10,27,11,14,11,2.6,99,9.625,1004,57.25,14,12,9
2011-01-08,12,8,32,11,12,9,3.4,97,8.5,1007,73.375,12,10,8
2011-01-09,8,3,10,3,8,3,1.3,93,9.875,1021,26.875,9,6,2
2011-01-10,9,3,25,4,9,6,0.5,96,9.0,1021,59.625,9,6,1
2011-01-11,11,4,24,9,10,6,2.2,95,8.875,1022,70.125,11,10,6
2011-01-12,12,5,23,10,12,11,0.4,99,9.0,1023,92.875,12,11,9
2011-01-13,13,10,28,11,13,10,0.0,98,10.0,1023,80.375,13,12,9
2011-01-14,13,9,30,9,13,11,0.4,97,9.0,1022,66.375,13,10,7
2011-01-15,13,7,26,7,13,9,0.0,99,10.0,1026,47.25,13,10,6
2011-01-16,13,5,17,5,12,9,0.0,97,10.0,1025,16.0,13,9,4
2011-01-17,13,8,22,9,13,9,1.4,98,9.875,1025,54.0,13,11,7
2011-01-18,9,2,19,6,9,4,0.0,95,10.0,1032,44.5,9,8,4
2011-01-19,6,0,23,0,6,1,0.0,95,10.0,1033,24.375,6,2,-4
2011-01-20,7,-1,18,-1,7,3,0.0,95,10.0,1034,39.125,7,3,-3
2011-01-21,5,-2,21,-2,5,0,0.0,93,10.0,1036,23.375,5,0,-5
2011-01-22,5,-3,23,-2,5,3,0.1,88,10.0,1035,70.5,6,2,-5
2011-01-23,5,1,30,1,5,2,0.0,96,10.0,1030,69.375,5,2,-3
2011-01-24,7,2,23,4,7,4,0.2,96,10.0,1030,74.375,7,5,1
2011-01-25,7,0,14,0,7,4,0.0,94,7.0,1028,40.5,7,3,1
2011-01-26,6,3,9,5,6,4,1.3,100,2.25,1016,93.5,7,7,4
2011-01-27,4,0,25,1,4,2,4.9,98,9.625,1013,62.75,4,3,-5
2011-01-28,2,-2,28,-2,2,0,0.1,94,9.0,1015,51.875,2,0,-8
2011-01-29,5,-3,26,-2,4,0,0.0,82,10.0,1017,36.375,5,0,-6
2011-01-30,3,-5,19,-5,2,-3,0.0,82,8.75,1020,11.75,3,0,-9
2011-01-31,3,-6,13,-6,1,-4,0.0,60,10.0,1027,1.5,5,0,-8
2011-02-01,4,-7,7,-6,3,-1,0.1,70,10.0,1031,21.375,5,1,1
2011-02-02,9,2,13,3,7,7,0.5,98,4.0,1033,92.875,9,8,2
2011-02-03,12,6,12,8,12,6,0.1,99,8.75,1031,59.375,12,9,7
2011-02-04,12,6,31,7,12,10,0.1,95,9.0,1032,62.75,12,9,6
