DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C
2016-01-01,12,8,33,8,11,11,1.0,85,9.875,1024,70.25,12,9,4
2016-01-02,11,9,41,10,11,9,1.0,75,9.875,1014,75.25,11,7,6
2016-01-03,11,9,47,10,11,10,8.9,89,9.25,1012,83.5,11,9,6
2016-01-04,8,4,18,4,8,5,0.2,83,9.375,1021,57.75,8,5,2
2016-01-05,10,5,31,8,10,9,0.4,81,9.5,1015,69.75,10,6,5
2016-01-06,11,7,25,8,11,8,2.7,84,9.625,1003,65.625,11,8,5
2016-01-07,13,8,39,13,11,8,16.3,86,8.75,1006,64.125,13,12,8
2016-01-08,11,8,11,8,11,9,0.3,93,8.0,1005,82.625,11,8,6
2016-01-09,12,8,43,8,12,11,2.7,85,9.875,1002,58.875,12,9,6
2016-01-10,11,7,35,7,11,8,0.4,82,10.0,995,51.5,11,5,4
2016-01-11,11,8,42,8,11,9,3.6,73,9.375,999,46.375,11,7,4
2016-01-12,10,5,27,7,10,6,0.0,75,10.0,1019,28.375,10,5,4
2016-01-13,10,4,18,4,10,7,1.5,77,10.0,1023,52.375,10,6,5
2016-01-14,9,4,27,7,9,5,1.4,87,9.875,1019,35.625,9,7,3
2016-01-15,7,2,34,2,7,3,0.0,74,10.0,1029,8.875,7,2,-2
2016-01-16,8,1,15,1,8,1,0.0,76,10.0,1031,31.625,8,2,2
2016-01-17,8,2,17,3,8,5,0.4,81,9.0,1030,71.75,8,3,2
2016-01-18,5,0,30,2,4,1,5.4,96,6.25,1017,91.875,5,5,-4
2016-01-19,7,0,9,0,5,3,0.0,91,7.0,1016,74.75,7,4,0
2016-01-20,7,1,16,2,6,3,0.0,94,7.0,1020,62.0,7,4,-1
2016-01-21,8,0,20,0,7,5,0.0,80,10.0,1022,36.5,8,2,-3
2016-01-22,13,4,31,7,13,11,4.6,97,9.5,1028,71.375,13,12,5
2016-01-23,11,4,21,6,11,9,0.1,86,10.0,1034,54.875,11,9,4
2016-01-24,15,9,20,9,14,11,0.0,88,10.0,1032,37.875,15,11,8
2016-01-25,15,7,25,7,14,11,0.0,94,9.0,1028,24.0,15,12,6
2016-01-26,13,8,32,8,13,10,0.1,90,8.0,1029,31.25,13,9,7
2016-01-27,13,11,40,11,13,12,3.8,78,8.75,1026,76.625,13,10,8
2016-01-28,11,5,15,8,9,6,3.1,93,8.875,1032,59.875,11,10,5
2016-01-29,12,4,27,6,12,11,0.5,89,9.0,1034,63.375,12,9,6
2016-01-30,12,9,45,11,12,9,4.5,93,8.75,1027,100.0,12,10,8
2016-01-31,14,10,39,13,14,13,0.0,94,10.0,1026,96.875,14,12,10
2016-02-01,13,11,28,11,13,11,0.1,90,10.0,1030,97.5,13,11,9
2016-02-02,12,7,35,11,12,9,0.7,91,10.0,1028,80.5,13,11,8
2016-02-03,10,5,30,5,9,6,0.6,81,9.875,1036,20.75,10,6,2
2016-02-04,13,4,31,8,13,9,0.1,92,7.75,1037,71.0,13,10,7
2016-02-05,12,7,22,8,12,8,0.0,95,6.25,1032,63.125,12,9,7
2016-02-06,13,9,54,10,13,11,4.0,86,8.625,1017,67.625,13,8,7
2016-02-07,11,6,37,6,10,9,1.7,79,9.875,1009,45.25,11,9,4
2016-02-08,12,10,52,11,11,10,0.7,78,10.0,1010,78.5,12,10,6
2016-02-09,13,5,56,13,9,5,0.2,85,8.75,1008,74.75,13,11,3
2016-02-10,8,3,23,3,8,4,0.3,74,10.0,1008,20.625,9,2,3
2016-02-11,9,3,17,4,9,5,0.0,91,10.0,1009,45.0,10,5,3
2016-02-12,11,6,40,9,11,8,8.6,85,9.25,1002,71.125,11,8,6
2016-02-13,11,7,57,11,11,8,3.6,77,9.875,996,67.25,11,9,5
2016-02-14,10,4,19,6,10,6,1.5,83,8.375,1003,58.375,10,7,5
2016-02-15,7,1,34,1,7,3,0.0,76,10.0,1032,32.125,7,1,-2
2016-02-16,7,0,13,0,7,2,0.0,78,10.0,1035,6.375,8,0,0
2016-02-17,6,-1,19,-1,6,4,3.7,62,9.625,1030,62.0,6,0,-2
2016-02-18,7,0,17,1,6,1,3.3,94,8.25,1023,58.875,7,4,-1
2016-02-19,10,2,26,2,10,7,0.0,82,10.0,1024,33.0,10,6,4
2016-02-20,13,9,26,10,13,11,0.3,96,9.0,1026,99.25,13,11,8
2016-02-21,13,10,20,11,13,10,0.0,93,10.0,1026,93.125,13,11,9
2016-02-22,13,9,27,9,13,10,0.4,89,9.875,1020,73.875,13,10,8
2016-02-23,10,6,14,10,6,6,1.1,92,8.875,1021,93.125,10,9,3
