DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C
2013-01-01,10,5,21,7,10,6,0.0,92,10.0,1021,33.375,10,9,5
2013-01-02,10,4,9,4,9,7,0.0,88,10.0,1033,45.375,10,8,3
2013-01-03,12,7,10,8,12,9,0.2,95,6.0,1041,44.0,12,9,8
2013-01-04,11,4,5,4,10,5,0.0,95,4.0,1042,24.25,12,9,7
2013-01-05,9,3,8,4,9,5,0.0,95,4.0,1039,22.75,10,8,3
2013-01-06,8,3,9,3,7,4,0.0,95,5.0,1037,30.125,9,6,2
2013-01-07,8,2,11,2,7,2,0.0,95,4.0,1030,20.5,9,6,0
2013-01-08,8,0,9,2,7,4,0.0,93,6.0,1029,38.625,9,6,4
2013-01-09,9,4,13,4,8,7,0.1,92,6.0,1027,90.375,9,7,2
2013-01-10,12,6,19,10,12,8,1.4,97,8.0,1021,73.625,12,10,9
2013-01-11,10,5,11,5,10,7,0.0,92,10.0,1023,39.75,11,7,5
2013-01-12,9,4,14,5,9,5,4.9,95,9.625,1014,38.625,9,7,3
2013-01-13,8,1,13,2,7,4,0.0,91,10.0,1020,37.5,8,5,0
2013-01-14,6,1,19,1,5,5,0.9,87,8.875,1020,83.375,6,5,2
2013-01-15,7,2,23,2,7,4,0.0,89,10.0,1014,54.5,7,2,-2
2013-01-16,4,-3,21,2,2,-1,4.6,99,9.125,1015,69.375,4,2,-3
2013-01-17,3,-4,11,-4,3,-1,0.0,87,10.0,1019,28.125,4,0,-4
2013-01-18,3,-3,24,-3,0,3,2.0,96,7.5,1012,85.75,3,2,-8
2013-01-19,3,-1,27,2,2,0,1.7,99,8.25,992,90.125,3,3,-4
2013-01-20,3,-2,12,-2,3,0,0.0,96,8.0,997,49.625,4,3,-4
2013-01-21,6,1,36,3,6,2,2.4,93,9.125,1002,67.125,6,4,-3
2013-01-22,6,2,18,4,6,3,3.9,99,8.125,1001,67.75,6,5,0
2013-01-23,7,-2,11,-2,6,4,0.5,93,7.0,1008,47.25,7,4,2
2013-01-24,5,0,14,1,5,1,1.0,96,8.875,1018,54.875,5,3,-3
2013-01-25,5,-3,20,-3,4,1,2.6,88,8.75,1019,39.0,5,1,-4
2013-01-26,10,4,18,6,9,6,0.8,90,9.875,1017,43.625,10,6,1
2013-01-27,12,6,25,10,12,6,5.0,97,9.0,1012,47.5,12,11,9
2013-01-28,11,5,28,5,11,10,0.2,81,10.0,1020,53.375,11,9,5
2013-01-29,13,10,35,10,12,12,4.2,94,8.625,1019,99.5,13,12,7
2013-01-30,13,6,36,13,13,8,2.5,96,9.875,1026,57.125,13,12,10
