DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C
2015-01-01,6,-2,13,-1,6,4,0.0,73,10.0,1037,18.5,6,4,-3
2015-01-02,11,6,17,9,11,8,0.9,99,7.625,1037,63.75,11,11,9
2015-01-03,13,7,31,12,13,12,0.5,98,6.75,1036,92.75,13,13,10
2015-01-04,12,10,4,11,12,10,0.1,92,10.0,1036,88.125,13,10,11
2015-01-05,9,3,12,5,9,4,0.0,95,5.75,1035,34.0,9,7,3
2015-01-06,12,2,14,6,12,9,0.7,97,5.375,1029,72.25,12,10,7
2015-01-07,10,2,12,2,9,8,0.0,88,10.0,1031,34.125,10,9,6
2015-01-08,13,8,31,10,12,9,0.0,95,10.0,1037,57.5,13,12,8
2015-01-09,14,9,27,12,14,13,0.7,97,8.0,1037,80.125,15,13,11
2015-01-10,13,11,26,13,13,13,0.6,97,8.0,1033,93.125,13,13,11
2015-01-11,9,5,15,5,9,6,0.0,85,10.0,1035,20.25,9,7,3
2015-01-12,13,7,31,8,13,11,0.1,88,10.0,1032,55.0,13,10,6
2015-01-13,12,8,36,12,11,8,3.4,91,9.5,1017,64.0,12,10,8
2015-01-14,11,6,26,8,11,10,1.2,84,9.0,1019,67.0,11,8,5
2015-01-15,11,7,55,11,10,8,10.5,90,8.25,1009,91.875,11,9,6
2015-01-16,9,4,17,5,8,5,0.0,92,9.875,1014,43.25,9,5,3
2015-01-17,8,0,12,0,7,4,0.0,83,10.0,1020,19.875,8,4,5
2015-01-18,7,4,19,4,7,4,7.3,94,8.25,1016,95.75,7,5,1
2015-01-19,6,0,17,1,5,1,0.8,84,9.875,1015,26.625,7,3,-3
2015-01-20,5,0,17,0,5,2,0.0,78,10.0,1013,77.375,6,0,-3
